,0.17,0.37,0.57,0.77,0.97,1.18,1.38,1.58,1.78,1.99,2.19,2.39,2.59,2.79,3.0,3.2,3.4,3.6,3.81,4.01,4.21,4.41,4.62,4.82,5.02,5.22,5.42,5.63,5.83,6.03,6.23,6.44,6.64,6.84,7.04,7.24,7.45,7.65,7.85,8.05,8.26,8.46,8.66,8.86,9.07,9.27,9.47,9.67,9.87,10.08
0.19,0.0,0.0,0.0,133.5,111.0,0.0,0.0,0.0,0.0,162.0,118.0,0.0,0.0,0.0,120.0,132.75,0.0,0.0,136.9090909090909,110.66666666666667,0.0,129.66666666666666,122.5,0.0,133.4,120.25,0.0,0.0,0.0,0.0,0.0,0.0,107.5,142.33333333333334,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,125.4,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,0.0,151.0,0.0,109.5,0.0,0.0,0.0,0.0,101.0,142.5,89.5,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,148.0,0.0,98.66666666666667,125.71428571428571,0.0,0.0,0.0,0.0,0.0,127.5,132.0,138.0,0.0,0.0,0.0,0.0,0.0,103.25,154.0,0.0,0.0,0.0,108.2,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,0.0,0.0,0.0,127.0,114.0,0.0,0.0,143.66666666666666,119.42857142857143,132.0,67.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.33333333333333,119.25,127.0,133.42857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.5,143.0,0.0,0.0,120.875,0.0,0.0
0.79,0.0,123.0,107.66666666666667,0.0,0.0,0.0,133.8,158.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,121.75,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,119.0,136.1818181818182,123.75,149.5,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.5,134.0,0.0,0.0
0.99,0.0,129.0,149.55555555555554,132.0,131.71428571428572,114.0,133.0,0.0,0.0,126.5,128.33333333333334,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,109.6,135.28571428571428,115.0,0.0,0.0,0.0,0.0,123.0,125.25,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.19,0.0,0.0,125.33333333333333,130.71428571428572,121.0,133.2,118.6,0.0,155.0,152.2,101.0,106.5,130.16666666666666,131.5,0.0,0.0,0.0,104.0,128.6,114.0,0.0,0.0,0.0,173.0,136.625,116.25,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,140.0,117.5,133.0,0.0,0.0,0.0,0.0,150.0,141.0,0.0,0.0,0.0,169.0,0.0,0.0
1.39,0.0,0.0,133.0,129.5,126.44444444444444,122.2,113.33333333333333,110.0,0.0,0.0,0.0,125.6,154.2,0.0,0.0,0.0,0.0,116.6,112.58333333333333,110.0,0.0,0.0,0.0,0.0,195.0,144.2,0.0,108.0,160.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,70.0,94.0,0.0,0.0,0.0,0.0,105.0,170.0,0.0,0.0,0.0,130.2,114.0,0.0
1.59,0.0,0.0,0.0,107.66666666666667,129.1818181818182,134.5,130.83333333333334,128.625,0.0,0.0,131.5,139.75,0.0,0.0,120.0,143.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,141.25,0.0,0.0,0.0,0.0,121.0,137.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.79,0.0,0.0,0.0,0.0,135.2,137.16666666666666,96.0,98.66666666666667,0.0,0.0,123.33333333333333,146.0,0.0,0.0,124.0,128.55555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0
